,0
MDVP:Fo(Hz),181.9377708333333
MDVP:Fhi(Hz),223.63675
MDVP:Flo(Hz),145.2072916666667
MDVP:Jitter(%),0.0038660416666666665
MDVP:Jitter(Abs),2.3375000000000002e-05
MDVP:RAP,0.0019250000000000003
MDVP:PPQ,0.0020560416666666665
Jitter:DDP,0.005776041666666666
MDVP:Shimmer,0.01761520833333333
MDVP:Shimmer(dB),0.16295833333333334
Shimmer:APQ3,0.009503541666666667
Shimmer:APQ5,0.010508541666666668
MDVP:APQ,0.013304791666666668
Shimmer:DDA,0.028511458333333337
NHR,0.011482708333333333
HNR,24.678749999999997
RPDE,0.442551875
DFA,0.6957155625000001
spread1,-6.759263874999999
spread2,0.16029200000000002
D2,2.1544907291666666
PPE,0.12301710416666667
